,ID,name,phone_number,address,shopimage_url,url,location_id
0,g183519,築地寿司清 日比谷シャンテ店,03-3539-6767,〒100-0006 東京都千代田区有楽町1-2-2 東宝日比谷ビルB2,https://uds.gnst.jp/rest/img/r9j09pdd0000/t_000f.jpg,https://r.gnavi.co.jp/g183519/?ak=YNHjgePn4OyPlqX6LdUA3teI3FrafXi1NDckqjh7cy4%3D,東京ドーム
1,6270834,麻布茶房 日比谷シャンテ店 ,03-3504-0120,〒100-0006 東京都千代田区有楽町1-2-2 日比谷シャンテB2F,No image,https://r.gnavi.co.jp/pn5ecusg0000/?ak=YNHjgePn4OyPlqX6LdUA3teI3FrafXi1NDckqjh7cy4%3D,東京ドーム
2,7137932,白さんの純豆腐 ,03-6206-6689,〒100-0006 東京都千代田区有楽町1-2-2 日比谷シャンテB2,No image,http://r.gnavi.co.jp/87swakue0000/?ak=YNHjgePn4OyPlqX6LdUA3teI3FrafXi1NDckqjh7cy4%3D,東京ドーム
3,6274788,スターバックスコーヒー日比谷シャンテ店 ,03-5510-7081,〒100-0006 東京都千代田区有楽町1-2-2 日比谷シャンテ,No image,http://r.gnavi.co.jp/7y9y5mmm0000/?ak=YNHjgePn4OyPlqX6LdUA3teI3FrafXi1NDckqjh7cy4%3D,東京ドーム
4,6053769,壁の穴日比谷シャンテ店 ,03-3508-1567,〒100-0006 東京都千代田区有楽町1-2-2 日比谷シャンテB2F,No image,http://r.gnavi.co.jp/m2vt1t2z0000/?ak=YNHjgePn4OyPlqX6LdUA3teI3FrafXi1NDckqjh7cy4%3D,東京ドーム
5,5099386,カフェゆとりの空間日比谷シャンテ店 ,03-5157-0673,〒100-0006 東京都千代田区有楽町1-2-2 日比谷シャンテ2F,No image,http://r.gnavi.co.jp/h4te55yh0000/?ak=YNHjgePn4OyPlqX6LdUA3teI3FrafXi1NDckqjh7cy4%3D,東京ドーム
6,6273506,チャヤマクロビ 日比谷シャンテ店 ,03-3500-5514,〒100-0006 東京都千代田区有楽町1-2-2 東宝日比谷ビルB2F,No image,http://r.gnavi.co.jp/k4fghu2y0000/?ak=YNHjgePn4OyPlqX6LdUA3teI3FrafXi1NDckqjh7cy4%3D,東京ドーム
7,7361375,秋田羽後豚 揚げ小町 ,03-6550-9771,〒100-0006 東京都千代田区有楽町1-2-2 日比谷シャンテB2F,No image,http://r.gnavi.co.jp/hfcm6uu10000/?ak=YNHjgePn4OyPlqX6LdUA3teI3FrafXi1NDckqjh7cy4%3D,東京ドーム
8,5686330,家族亭 日比谷店 ,03-3581-5871,〒100-0006 東京都千代田区有楽町1-2-2 日比谷シャンテB2F,No image,http://r.gnavi.co.jp/3p5druer0000/?ak=YNHjgePn4OyPlqX6LdUA3teI3FrafXi1NDckqjh7cy4%3D,東京ドーム
9,7227126,おいしいカレー工房 ひつじや ,03-3539-6858,〒100-0006 東京都千代田区有楽町1-2-2 日比谷シャンテB2F,No image,http://r.gnavi.co.jp/7n9xrt4z0000/?ak=YNHjgePn4OyPlqX6LdUA3teI3FrafXi1NDckqjh7cy4%3D,東京ドーム
10,5853341,CAFE Chapeau ,03-3501-1345,〒100-0006 東京都千代田区有楽町1-2-2 日比谷シャンテ1F,No image,http://r.gnavi.co.jp/pjptg29j0000/?ak=YNHjgePn4OyPlqX6LdUA3teI3FrafXi1NDckqjh7cy4%3D,東京ドーム
11,5027074,東京洋食屋 神田グリル 日比谷シャンテ店 ,03-5521-0080,〒100-0006 東京都千代田区有楽町1-2-2 日比谷シャンテB2F,No image,http://r.gnavi.co.jp/89kn7d9k0000/?ak=YNHjgePn4OyPlqX6LdUA3teI3FrafXi1NDckqjh7cy4%3D,東京ドーム
12,6774104,ヴィ ド フランス 日比谷店 ,03-3581-5865,〒100-0006 東京都千代田区有楽町1-2-2 日比谷シャンテB2F,No image,http://r.gnavi.co.jp/jmdpbrcx0000/?ak=YNHjgePn4OyPlqX6LdUA3teI3FrafXi1NDckqjh7cy4%3D,東京ドーム
13,7227812,ニャーヴェトナム 日比谷シャンテ店 ,03-6257-3024,〒100-0006 東京都千代田区有楽町1-2-2 日比谷シャンテ　B2F,No image,http://r.gnavi.co.jp/6whas9ks0000/?ak=YNHjgePn4OyPlqX6LdUA3teI3FrafXi1NDckqjh7cy4%3D,東京ドーム
